role,skills
administrative assistant,"calendar management travel coordination meeting scheduling correspondence and communication office organization confidentiality time management problem-solving attention to detail communication skills technology proficiency (e.g., ms office), data entry accuracy and speed database software (e.g., microsoft access, excel) attention to detail time management organization multitasking keyboarding skills data verification problem-solving communication skills computer proficiency"
architect,"sustainable design principles energy efficiency leed certification green building materials environmental impact assessment, architectural project management construction documents building systems design coordination client communication, architectural design software (e.g., autocad, revit) building codes and regulations 3d modeling visualization sustainable design"
back-end developer,"server-side programming languages (e.g., java, python) database management api development, api design and development restful api knowledge security protocols (oauth, jwt)"
brand manager,"marketing analytics data analysis tools (e.g., google analytics, adobe analytics) brand performance measurement consumer behavior analysis campaign effectiveness evaluation, product branding and marketing product lifecycle management cross-functional team collaboration product launch planning market segmentation and targeting, brand strategy development market research and analysis competitive analysis brand positioning and messaging creative direction and collaboration"
civil engineer,"water resources engineering hydrology and hydraulics environmental impact assessment water resource modeling software watershed management, structural engineering principles structural analysis and design software (e.g., autocad, sap2000) building codes and standards project management structural integrity assessment, transportation engineering traffic analysis and planning civil engineering software (e.g., microstation, autocad civil 3d) roadway design public transportation knowledge"
customer support specialist,"customer relationship management onboarding and training customer feedback analysis retention strategies cross-selling and upselling strong communication and empathy customer advocacy, help desk support ticket resolution it troubleshooting customer service skills technical knowledge documentation and knowledge base maintenance communication and interpersonal skills, technical troubleshooting customer support tools (e.g., zendesk, freshdesk) communication skills problem-solving and critical thinking ticket management knowledge base creation"
data analyst,"machine learning algorithms and libraries (e.g., scikit-learn, tensorflow, pytorch) statistical analysis and modeling data preprocessing and cleaning big data technologies (e.g., hadoop, spark) data visualization strong programming skills (python, data analysis and visualization tools (e.g., tableau, power bi) sql and database querying business intelligence concepts data modeling and reporting strong analytical and problem-solving skills data-driven decision-making, data quality assessment and improvement data profiling and validation knowledge of data quality tools (e.g., informatica, talend) data governance principles sql for data analysis attention to detail and data accuracy"
data engineer,"data architecture design database management systems data modeling, big data technologies (hadoop, spark, etc.) data processing and analysis distributed computing, etl (extract, transform, load) processes data integration sql and scripting languages"
data scientist,"data integration etl (extract, transform, load) big data technologies (e.g., hadoop, spark) database management data warehousing, machine learning algorithms python programming data preprocessing deep learning model evaluation"
database administrator,"database design and development sql and database querying data modeling programming languages (e.g., java, python) data security and privacy regulations knowledge, database security measures data encryption and access control security compliance vulnerability assessment database auditing and monitoring, data analysis database querying and reporting data visualization sql proficiency data quality assurance"
digital marketing specialist,"social media platforms (e.g., facebook, twitter, instagram) content creation and scheduling social media analytics and insights community engagement paid social advertising, search engine algorithms and ranking factors keyword research and analysis on-page and off-page seo optimization seo tools (e.g., google analytics, semrush) seo content strategy, email marketing platforms (e.g., mailchimp, constant contact) email campaign creation and segmentation a/b testing and optimization email deliverability and compliance metrics tracking and analysis"
email marketing specialist,"marketing automation platforms (e.g., marketo, pardot) lead nurturing workflow automation crm integration analytics and reporting email marketing campaign optimization marketing strategy communication skills problem-solving attention to detail, email marketing strategies email marketing platforms (e.g., mailchimp, hubspot) audience segmentation a/b testing campaign analytics copywriting html/css for email marketing automation communication skills data analysis attention to detail, email deliverability best practices spam filter testing list hygiene blacklist monitoring email authentication (e.g., spf, dkim) deliverability metrics analysis troubleshooting deliverability issues communication skills data analysis attention to detail"
financial controller,"accounting financial reporting financial audits tax compliance accounting software (e.g., sap, oracle) gaap (generally accepted accounting principles), financial management budgeting financial analysis financial reporting risk management financial software (e.g., excel, quickbooks) strategic planning"
front-end developer,"web accessibility standards (e.g., wcag) assistive technologies accessibility testing tools html and css for accessibility aria (accessible rich internet applications) user experience (ux) for accessibility usability testing with individuals with disabilities collaboration attention to detail, user interface (ui) design user experience (ux) design web design principles prototyping and wireframing front-end development languages (e.g., html, css, javascript) interaction design user testing responsive design usability testing collaboration attention to detail, web design concepts graphic design software (e.g., adobe creative suite) html and css responsive design user interface (ui) principles visual communication typography color theory creativity attention to detail collaboration"
graphic designer,"user interface (ui) design user experience (ux) design wireframing and prototyping tools (e.g., sketch, figma) usability testing information architecture interaction design mobile and responsive design, graphic design tools (e.g., adobe creative suite) web design principles user interface (ui) design visual communication typography creativity and artistic skills, print design software (e.g., adobe indesign, illustrator) layout and composition print production processes color theory and management attention to detail print industry knowledge"
interior designer,"hospitality interior design hotel and restaurant design branding and theme integration ff&e (furniture, fixtures, and equipment) selection customer experience design, commercial interior design workplace ergonomics building codes and regulations knowledge sustainable design principles autocad and revit proficiency, residential interior design space planning color theory and selection furniture and materials selection 3d modeling and rendering"
it manager,"network administration system administration virtualization technologies (e.g., vmware, hyper-v) storage management it security disaster recovery planning capacity planning monitoring and troubleshooting cloud infrastructure (e.g., aws, azure) vendor management, strategic it planning leadership and management budgeting and financial management it governance and compliance vendor management cybersecurity and risk management project management cloud computing network infrastructure enterprise software systems"
it support specialist,"desktop hardware and software troubleshooting operating system expertise (e.g., windows, macos) remote desktop support hardware and software upgrades customer service skills, network administration system and server maintenance cybersecurity knowledge backup and recovery it project management skills, technical troubleshooting customer service and communication ticketing system usage basic it knowledge problem-solving and critical-thinking skills"
java developer,"web application development java web frameworks (e.g., servlets, jsp) frontend integration user authentication security protocols code documentation, backend development restful apis database integration java ee (enterprise edition) performance optimization version control (e.g., git), java programming java frameworks (e.g., spring) object-oriented design code debugging software development problem-solving skills"
legal assistant,"legal research document drafting case management e-filing legal databases (e.g., lexisnexis) client communication deposition preparation trial support ethics and confidentiality attention to detail communication skills legal software proficiency, e-discovery tools and processes document review and production litigation support software (e.g., relativity) data analysis case management communication with legal teams technical proficiency attention to detail problem-solving legal research skills, legal administrative tasks document management calendar and docketing transcription file organization communication with clients and courts knowledge of legal terminology attention to detail multitasking computer skills (e.g., ms office)"
marketing analyst,"data analysis tools (e.g., sql, python) data visualization tools (e.g., tableau, power bi) statistical analysis data cleansing and transformation data modeling communication of data insights problem-solving attention to detail business acumen, digital marketing strategies analytics and reporting seo and sem social media marketing email marketing data interpretation marketing automation tools a/b testing communication skills problem-solving attention to detail marketing knowledge"
